1-й тур
19.02.2022 Вулверхэмптон Уондерерс  -  Лестер _ : _
19.02.2022 Кристал Пэлас  -  Челси _ : _
19.02.2022 Ливерпуль  -  Норвич _ : _
19.02.2022 Лидс  -  Манчестер Юнайтед _ : _
19.02.2022 Манчестер Сити  -  Тоттенхэм Хотспур _ : _
19.02.2022 Саутгемптон  -  Эвертон _ : _
27-й тур
26.02.2022 Арсенал  -  Ливерпуль _ : _
26.02.2022 Брайтон & Хоув  -  Астон Вилла _ : _
26.02.2022 Брентфорд  -  Ньюкасл Юнайтед _ : _
26.02.2022 Вест Хэм Юнайтед  -  Вулверхэмптон Уондерерс _ : _
26.02.2022 Кристал Пэлас  -  Бернли _ : _
26.02.2022 Лидс  -  Тоттенхэм Хотспур _ : _
26.02.2022 Манчестер Юнайтед  -  Уотфорд _ : _
26.02.2022 Саутгемптон  -  Норвич _ : _
26.02.2022 Челси  -  Лестер _ : _
26.02.2022 Эвертон  -  Манчестер Сити _ : _
28-й тур
05.03.2022 Астон Вилла  -  Саутгемптон _ : _
05.03.2022 Бернли  -  Челси _ : _
05.03.2022 Вулверхэмптон Уондерерс  -  Кристал Пэлас _ : _
05.03.2022 Лестер  -  Лидс _ : _
05.03.2022 Ливерпуль  -  Вест Хэм Юнайтед _ : _
05.03.2022 Манчестер Сити  -  Манчестер Юнайтед _ : _
05.03.2022 Норвич  -  Брентфорд _ : _
05.03.2022 Ньюкасл Юнайтед  -  Брайтон & Хоув _ : _
05.03.2022 Тоттенхэм Хотспур  -  Эвертон _ : _
05.03.2022 Уотфорд  -  Арсенал _ : _
29-й тур
12.03.2022 Арсенал  -  Лестер _ : _
12.03.2022 Брайтон & Хоув  -  Ливерпуль _ : _
12.03.2022 Брентфорд  -  Бернли _ : _
12.03.2022 Вест Хэм Юнайтед  -  Астон Вилла _ : _
12.03.2022 Кристал Пэлас  -  Манчестер Сити _ : _
12.03.2022 Лидс  -  Норвич _ : _
12.03.2022 Манчестер Юнайтед  -  Тоттенхэм Хотспур _ : _
12.03.2022 Саутгемптон  -  Уотфорд _ : _
12.03.2022 Челси  -  Ньюкасл Юнайтед _ : _
12.03.2022 Эвертон  -  Вулверхэмптон Уондерерс _ : _
30-й тур
19.03.2022 Вулверхэмптон Уондерерс  -  Лидс _ : _
19.03.2022 Лестер  -  Брентфорд _ : _
19.03.2022 Ливерпуль  -  Манчестер Юнайтед _ : _
19.03.2022 Манчестер Сити  -  Брайтон & Хоув _ : _
19.03.2022 Норвич  -  Челси _ : _
19.03.2022 Ньюкасл Юнайтед  -  Кристал Пэлас _ : _
19.03.2022 Тоттенхэм Хотспур  -  Вест Хэм Юнайтед _ : _
19.03.2022 Уотфорд  -  Эвертон _ : _
19.03.2022 Астон Вилла  -  Арсенал _ : _
19.03.2022 Бернли  -  Саутгемптон _ : _
31-й тур
02.04.2022 Бернли  -  Манчестер Сити _ : _
02.04.2022 Брайтон & Хоув  -  Норвич _ : _
02.04.2022 Вест Хэм Юнайтед  -  Эвертон _ : _
02.04.2022 Вулверхэмптон Уондерерс  -  Астон Вилла _ : _
02.04.2022 Кристал Пэлас  -  Арсенал _ : _
02.04.2022 Ливерпуль  -  Уотфорд _ : _
02.04.2022 Лидс  -  Саутгемптон _ : _
02.04.2022 Манчестер Юнайтед  -  Лестер _ : _
02.04.2022 Тоттенхэм Хотспур  -  Ньюкасл Юнайтед _ : _
02.04.2022 Челси  -  Брентфорд _ : _
32-й тур
09.04.2022 Арсенал  -  Брайтон & Хоув _ : _
09.04.2022 Астон Вилла  -  Тоттенхэм Хотспур _ : _
09.04.2022 Брентфорд  -  Вест Хэм Юнайтед _ : _
09.04.2022 Лестер  -  Кристал Пэлас _ : _
09.04.2022 Манчестер Сити  -  Ливерпуль _ : _
09.04.2022 Норвич  -  Бернли _ : _
09.04.2022 Ньюкасл Юнайтед  -  Вулверхэмптон Уондерерс _ : _
09.04.2022 Саутгемптон  -  Челси _ : _
09.04.2022 Уотфорд  -  Лидс _ : _
09.04.2022 Эвертон  -  Манчестер Юнайтед _ : _
33-й тур
16.04.2022 Астон Вилла  -  Ливерпуль _ : _
16.04.2022 Вест Хэм Юнайтед  -  Бернли _ : _
16.04.2022 Вулверхэмптон Уондерерс  -  Манчестер Сити _ : _
16.04.2022 Лидс  -  Челси _ : _
16.04.2022 Манчестер Юнайтед  -  Норвич _ : _
16.04.2022 Ньюкасл Юнайтед  -  Лестер _ : _
16.04.2022 Саутгемптон  -  Арсенал _ : _
16.04.2022 Тоттенхэм Хотспур  -  Брайтон & Хоув _ : _
16.04.2022 Уотфорд  -  Брентфорд _ : _
16.04.2022 Эвертон  -  Кристал Пэлас _ : _
34-й тур
23.04.2022 Арсенал  -  Манчестер Юнайтед _ : _
23.04.2022 Бернли  -  Вулверхэмптон Уондерерс _ : _
23.04.2022 Брайтон & Хоув  -  Саутгемптон _ : _
23.04.2022 Брентфорд  -  Тоттенхэм Хотспур _ : _
23.04.2022 Кристал Пэлас  -  Лидс _ : _
23.04.2022 Лестер  -  Астон Вилла _ : _
23.04.2022 Ливерпуль  -  Эвертон _ : _
23.04.2022 Манчестер Сити  -  Уотфорд _ : _
